locality,region
Bo-Kaap ,City Bowl
Devil's Peak Estate,City Bowl
De Waterkant,City Bowl
Foreshore,City Bowl
Gardens,City Bowl
Higgovale,City Bowl
Lower Vrede ,City Bowl
Oranjezicht,City Bowl
Salt River,City Bowl
Schotse Kloof ,City Bowl
Tamboerskloof,City Bowl
University Estate,City Bowl
Vredehoek,City Bowl
Walmer Estate ,City Bowl
Woodstock ,City Bowl
Zonnebloem ,City Bowl
Belhar,Northern Suburbs
Bellville,Northern Suburbs
Brackenfell,Northern Suburbs
Bothasig,Northern Suburbs
Brooklyn,Northern Suburbs
Durbanville,Northern Suburbs
Edgemead,Northern Suburbs
Elsie's River,Cape Flats
Goodwood,Northern Suburbs
Kensington,Northern Suburbs
Kraaifontein,Northern Suburbs
Kuils River,Northern Suburbs
Loevenstein,Northern Suburbs
Maitland,Northern Suburbs
Milnerton,West Coast
Monte Vista,Northern Suburbs
Panorama,Northern Suburbs
Parow,Northern Suburbs
Plattekloof,Northern Suburbs
Rugby,Northern Suburbs
Thornton,Northern Suburbs
Bantry Bay,Atlantic Seaboard
Camps Bay,Atlantic Seaboard
Clifton,Atlantic Seaboard
Fresnaye,Atlantic Seaboard
Green Point,Atlantic Seaboard
Hout Bay,Atlantic Seaboard
Imizamo Yethu,Atlantic Seaboard
Llandudno,Atlantic Seaboard
Mouille Point,Atlantic Seaboard
Sea Point,Atlantic Seaboard
Three Anchor Bay,Atlantic Seaboard
Bergvliet,Southern Suburbs
Bishopscourt,Southern Suburbs
Claremont,Southern Suburbs
Constantia,Southern Suburbs
Lansdowne,Southern Suburbs
Diep River,Southern Suburbs
Harfield Village,Southern Suburbs
Heathfield,Southern Suburbs
Kenilworth,Southern Suburbs
Kenwyn,Southern Suburbs
Kirstenhof,Southern Suburbs
Kreupelbosch,Southern Suburbs
Meadowridge,Southern Suburbs
Mowbray,Southern Suburbs
Ndabeni,Southern Suburbs
Newlands,Southern Suburbs
Observatory,Southern Suburbs
Pinelands,Southern Suburbs
Plumstead,Southern Suburbs
Retreat,Southern Suburbs
Rondebosch,Southern Suburbs
Rondebosch East,Southern Suburbs
Rosebank,Southern Suburbs
Steenberg,Southern Suburbs
SouthField,Southern Suburbs
Tokai,Southern Suburbs
Wynberg,Southern Suburbs
Capri Village,South Peninsula
Clovelly,South Peninsula
Fish Hoek,South Peninsula
Glencairn,South Peninsula
Kalk Bay,South Peninsula
Kommetjie,South Peninsula
Lakeside,South Peninsula
Marina da Gama,South Peninsula
Masiphumelele,South Peninsula
Muizenberg,South Peninsula
Noordhoek ,South Peninsula
Ocean View,South Peninsula
Scarborough ,South Peninsula
Simon's Town,South Peninsula
St James,South Peninsula
Sunnydale,South Peninsula
Sun Valley,South Peninsula
Athlone,Cape Flats
Bishop Lavis,Cape Flats
Bonteheuwel,Cape Flats
Delft,Cape Flats
Electric City,Cape Flats
Epping,Cape Flats
Grassy Park,Cape Flats
Gugulethu,Cape Flats
Hanover Park,Cape Flats
Kalksteenfontein,Cape Flats
Khayelitsha,Cape Flats
Langa,Cape Flats
Crawford,Cape Flats
Lavender Hill,Cape Flats
Lotus River,Cape Flats
Macassar,Cape Flats
Manenberg,Cape Flats
Mitchells Plain,Cape Flats
Nyanga,Cape Flats
Ottery,Cape Flats
Pelican Park,Cape Flats
Philippi,Cape Flats
Samora Machel,Cape Flats
Strandfontein,Cape Flats
Valhalla Park,Cape Flats
Firgrove,Helderberg
Gordon's Bay,Helderberg
Somerset West,Helderberg
Strand,Helderberg
Atlantis,West Coast
Bloubergstrand,West Coast
Mamre,West Coast
Melkbosstrand,West Coast
Montague Gardens,West Coast
Parklands,West Coast
Table View,West Coast
West Beach,West Coast
